title,actor name,director name,year,genre,aggregate value
Texasville,"Marich, Allison","Bogdanovich, Peter",1990,Drama,"Texasville (1990) Marich, Allison Bogdanovich, Peter 1990 Drama"
Sunday in New York,"Robertson, Cliff","Tewksbury, Peter",1963,Comedy,"Sunday in New York (1963) Robertson, Cliff Tewksbury, Peter 1963 Comedy"
Summer Magic,"Leavitt, Norman","Neilson, James",1963,Comedy,"Summer Magic (1963) Leavitt, Norman Neilson, James 1963 Comedy"
Summer Holiday,"Farley, Richard (I)","Yates, Peter (I)",1963,Romance,"Summer Holiday (1963) Farley, Richard (I) Yates, Peter (I) 1963 Romance"
Premante Idera,"Zinta, Preity","Paranji, Jayant",1998,Drama,"Premante Idera (1998) Zinta, Preity Paranji, Jayant 1998 Drama"
"Sword in the Stone, The","Reitherman, Richard","Reitherman, Wolfgang",1963,Musical,"Sword in the Stone, The (1963) Reitherman, Richard Reitherman, Wolfgang 1963 Musical"
Fool's Paradise,"Searle, Kamuela C.","DeMille, Cecil B.",1921,Romance,"Fool's Paradise (1921) Searle, Kamuela C. DeMille, Cecil B. 1921 Romance"
"Terre des ?mes errantes, La",,"Panh, Rithy",2000,Documentary,"Terre des ?mes errantes, La (2000)  Panh, Rithy 2000 Documentary"
"Only Son, The","Carpenter, Merta","de Mille, William C.",1914,Drama,"Only Son, The (1914) Carpenter, Merta de Mille, William C. 1914 Drama"
Eliminators,"Schrum, Peter","Manoogian, Peter",1986,Sci-Fi,"Eliminators (1986) Schrum, Peter Manoogian, Peter 1986 Sci-Fi"
Forbidden Fruit,"Day, Shannon (I)","DeMille, Cecil B.",1921,,"Forbidden Fruit (1921) Day, Shannon (I) DeMille, Cecil B. 1921"
Our Country Cousin,"St. John, Al","Henderson, Dell",1914,Short,"Our Country Cousin (1914) St. John, Al Henderson, Dell 1914 Short"
Nuvvu Naaku Nachchav,Suhasini,"Bhaskar, Vijay K.",2001,Comedy,"Nuvvu Naaku Nachchav (2001) Suhasini Bhaskar, Vijay K. 2001 Comedy"
Free Ride,"Lane, Krista","Trbovich, Tom",1986,Comedy,"Free Ride (1986) Lane, Krista Trbovich, Tom 1986 Comedy"
Rudraksh,"Koppikar, Isha","Shankar, Mani",2004,Sci-Fi,"Rudraksh (2004) Koppikar, Isha Shankar, Mani 2004 Sci-Fi"
Et Dieu... cr?a la femme,"L?vy, Raoul","Vadim, Roger",1956,Drama,"Et Dieu... cr?a la femme (1956) L?vy, Raoul Vadim, Roger 1956 Drama"
"Boatniks, The",Midori (I),"Tokar, Norman",1970,Comedy,"Boatniks, The (1970) Midori (I) Tokar, Norman 1970 Comedy"
Bombay Talkie,"Reeves, Tommy","Ivory, James",1970,Drama,"Bombay Talkie (1970) Reeves, Tommy Ivory, James 1970 Drama"
Wild and Woolly,"Singleton, Joseph","Emerson, John (I)",1917,Comedy,"Wild and Woolly (1917) Singleton, Joseph Emerson, John (I) 1917 Comedy"
Brancaleone alle crociate,"Sandrelli, Stefania","Monicelli, Mario",1970,Comedy,"Brancaleone alle crociate (1970) Sandrelli, Stefania Monicelli, Mario 1970 Comedy"
Freud,"Eden, M.V.","Huston, John (I)",1962,Biography,"Freud (1962) Eden, M.V. Huston, John (I) 1962 Biography"
"Boys in the Band, The","Nelson, Kenneth","Friedkin, William",1970,Drama,"Boys in the Band, The (1970) Nelson, Kenneth Friedkin, William 1970 Drama"
Fortress,"Stephen, Roger","Nicholson, Arch",1986,Horror,"Fortress (1986) (TV) Stephen, Roger Nicholson, Arch 1986 Horror"
Spencer's Mountain,"Mann, Larry D.","Daves, Delmer",1963,Comedy,"Spencer's Mountain (1963) Mann, Larry D. Daves, Delmer 1963 Comedy"
Shikast,"Singh, K.N.","Saigal, Ramesh",1953,Drama,"Shikast (1953) Singh, K.N. Saigal, Ramesh 1953 Drama"
"Fly, The","Carlson, Leslie","Cronenberg, David",1986,Horror,"Fly, The (1986) Carlson, Leslie Cronenberg, David 1986 Horror"
Sparrows Can't Sing,"Carby, Fanny","Littlewood, Joan",1963,Comedy,"Sparrows Can't Sing (1963) Carby, Fanny Littlewood, Joan 1963 Comedy"
Flying,"Logan, Nicole","Lynch, Paul (I)",1986,Drama,"Flying (1986) Logan, Nicole Lynch, Paul (I) 1986 Drama"
Hexen bis aufs Blut gequ?lt,"Vuco, Olivera","Armstrong, Michael (I)",1970,Horror,"Hexen bis aufs Blut gequ?lt (1970) Vuco, Olivera Armstrong, Michael (I) 1970 Horror"
Shikar,Manmohan (I),"Ram, Atma",1968,,"Shikar (1968) Manmohan (I) Ram, Atma 1968"
Brewster McCloud,"Wood, G.","Altman, Robert (I)",1970,Comedy,"Brewster McCloud (1970) Wood, G. Altman, Robert (I) 1970 Comedy"
Wu hu tu long,"Hung Kam-Bo, Sammo","Lo, Wei",1970,Action,"Wu hu tu long (1970) Hung Kam-Bo, Sammo Lo, Wei 1970 Action"
Five Finger Exercise,"Hawkins, Jack","Mann, Daniel (I)",1962,Drama,"Five Finger Exercise (1962) Hawkins, Jack Mann, Daniel (I) 1962 Drama"
"Woman God Forgot, The","Farrar, Geraldine","DeMille, Cecil B.",1917,History,"Woman God Forgot, The (1917) Farrar, Geraldine DeMille, Cecil B. 1917 History"
Thelma & Louise,"Davis, Geena","Scott, Ridley",1991,Drama,"Thelma & Louise (1991) Davis, Geena Scott, Ridley 1991 Drama"
Karisuma,"Inamura, Koichi","Kurosawa, Kiyoshi",1999,Drama,"Karisuma (1999) Inamura, Koichi Kurosawa, Kiyoshi 1999 Drama"
"Fidanzati, I","Cabrini, Carlo","Olmi, Ermanno",1963,Drama,"Fidanzati, I (1963) Cabrini, Carlo Olmi, Ermanno 1963 Drama"
Flight of the Navigator,"Raymond, Butch","Kleiser, Randal",1986,Family,"Flight of the Navigator (1986) Raymond, Butch Kleiser, Randal 1986 Family"
Earth vs. the Flying Saucers,"Wilcox, Frank","Sears, Fred F.",1956,Sci-Fi,"Earth vs. the Flying Saucers (1956) Wilcox, Frank Sears, Fred F. 1956 Sci-Fi"
Soldier in the Rain,"Hubbard, John (I)","Nelson, Ralph (I)",1963,Comedy,"Soldier in the Rain (1963) Hubbard, John (I) Nelson, Ralph (I) 1963 Comedy"
Dvenadtsataya noch,"Filippov, Sergei (I)","Frid, Yan",1955,Comedy,"Dvenadtsataya noch (1955) Filippov, Sergei (I) Frid, Yan 1955 Comedy"
Son of Flubber,"Rice, Jack","Stevenson, Robert (I)",1963,Comedy,"Son of Flubber (1963) Rice, Jack Stevenson, Robert (I) 1963 Comedy"
Firewalker,"Sampson, Will","Lee Thompson, J.",1986,Comedy,"Firewalker (1986) Sampson, Will Lee Thompson, J. 1986 Comedy"
Koi Tujh Sa Kahan,"Khosat, Irfan",Reema,2005,Drama,"Koi Tujh Sa Kahan (2005) Khosat, Irfan Reema 2005 Drama"
Frog-g-g!,"Walker, Kim (IV)","Jarrett, Cody (I)",2004,Horror,"Frog-g-g! (2004) Walker, Kim (IV) Jarrett, Cody (I) 2004 Horror"
Kyun Tumse Itna Pyar Hai,"Gul, Ajab","Gul, Ajab",2005,Action,"Kyun Tumse Itna Pyar Hai (2005) Gul, Ajab Gul, Ajab 2005 Action"
Five Men and a Limo,"Tate, Nick",,1997,Short,"Five Men and a Limo (1997) Tate, Nick  1997 Short"
Serenity,"Kwiat, Joshua Michael","Whedon, Joss",2005,Thriller,"Serenity (2005) Kwiat, Joshua Michael Whedon, Joss 2005 Thriller"
"Fine Mess, A","Moyer, Tawny","Edwards, Blake",1986,Comedy,"Fine Mess, A (1986) Moyer, Tawny Edwards, Blake 1986 Comedy"
Fire with Fire,"Savage, Ann (I)","Gibbins, Duncan",1986,Drama,"Fire with Fire (1986) Savage, Ann (I) Gibbins, Duncan 1986 Drama"
Dogville,"Skarsg?rd, Stellan","von Trier, Lars",2003,Thriller,"Dogville (2003) Skarsg?rd, Stellan von Trier, Lars 2003 Thriller"
"Fast Lady, The","Townley, Toke","Annakin, Ken",1962,Comedy,"Fast Lady, The (1962) Townley, Toke Annakin, Ken 1962 Comedy"
"Wrong Man, The","Billington, Francelia","Kelsey, Fred",1917,Short,"Wrong Man, The (1917) Billington, Francelia Kelsey, Fred 1917 Short"
Himalay Ki Godh Mein,Jayant (I),"Bhatt, Vijay",1965,Comedy,"Himalay Ki Godh Mein (1965) Jayant (I) Bhatt, Vijay 1965 Comedy"
Experiment in Terror,"McCormick, Kelly (I)","Edwards, Blake",1962,Thriller,"Experiment in Terror (1962) McCormick, Kelly (I) Edwards, Blake 1962 Thriller"
"Skydivers, The","Bay, Susan","Francis, Coleman",1963,Drama,"Skydivers, The (1963) Bay, Susan Francis, Coleman 1963 Drama"
Elena et les hommes,"Sylvestre, Simone","Renoir, Jean",1956,Comedy,"Elena et les hommes (1956) Sylvestre, Simone Renoir, Jean 1956 Comedy"
"Fifth Missile, The","Lema, David","Peerce, Larry",1986,Drama,"Fifth Missile, The (1986) (TV) Lema, David Peerce, Larry 1986 Drama"
Ferris Bueller's Day Off,"Rohrbough, Richard","Hughes, John (I)",1986,Comedy,"Ferris Bueller's Day Off (1986) Rohrbough, Richard Hughes, John (I) 1986 Comedy"
"Eddy Duchin Story, The","Jones-Moreland, Betsy","Sidney, George (II)",1956,Music,"Eddy Duchin Story, The (1956) Jones-Moreland, Betsy Sidney, George (II) 1956 Music"
Skorbnoye beschuvstviye,"Yegorova, Tatyana","Sokurov, Aleksandr",1987,,"Skorbnoye beschuvstviye (1987) Yegorova, Tatyana Sokurov, Aleksandr 1987"
Devotional,"Campbell, Hildia","Corbijn, Anton",1993,Music,"Devotional (1993) (V) Campbell, Hildia Corbijn, Anton 1993 Music"
Tongues Untied,"Freeman, Brian (I)","Riggs, Marlon",1990,Documentary,"Tongues Untied (1990) Freeman, Brian (I) Riggs, Marlon 1990 Documentary"
Killa Season,"James, Lorenz",Cam'ron,2006,Drama,"Killa Season (2006) (V) James, Lorenz Cam'ron 2006 Drama"
Fung hung bei cup,"Wong, Yut Fei","Yip Wai-Man, Raymond",2002,,"Fung hung bei cup (2002) Wong, Yut Fei Yip Wai-Man, Raymond 2002"
Fire,Reema,"Pota, Asif Ali",2006,Action,"Fire (2006) Reema Pota, Asif Ali 2006 Action"
Escape from East Berlin,"Jaenicke, K?te","Siodmak, Robert",1962,Drama,"Escape from East Berlin (1962) Jaenicke, K?te Siodmak, Robert 1962 Drama"
Don,"Heyne, Floris","Steenbergen, Arend",2006,Drama,"Don (2006/II) Heyne, Floris Steenbergen, Arend 2006 Drama"
Doberuman deka,"Matsuda, Eiko","Fukasaku, Kinji",1977,Crime,"Doberuman deka (1977) Matsuda, Eiko Fukasaku, Kinji 1977 Crime"
Blazing the Overland Trail,"O'Shea, Jack (I)","Bennet, Spencer Gordon",1956,Western,"Blazing the Overland Trail (1956) O'Shea, Jack (I) Bennet, Spencer Gordon 1956 Western"
Rogues of Sherwood Forest,"Collins, Paul (I)","Douglas, Gordon",1950,History,"Rogues of Sherwood Forest (1950) Collins, Paul (I) Douglas, Gordon 1950 History"
"Birds and the Bees, The","Hoy, Renate","Taurog, Norman",1956,Comedy,"Birds and the Bees, The (1956) Hoy, Renate Taurog, Norman 1956 Comedy"
"Black Sleep, The","Johnson, Tor","Le Borg, Reginald",1956,Horror,"Black Sleep, The (1956) Johnson, Tor Le Borg, Reginald 1956 Horror"
Biruma no tategoto,"Yasui, Sh?ji","Ichikawa, Kon",1956,Drama,"Biruma no tategoto (1956) Yasui, Sh?ji Ichikawa, Kon 1956 Drama"
"Mary Tyler Moore Reunion, The","MacLeod, Gavin",,2002,Documentary,"Mary Tyler Moore Reunion, The (2002) (TV) MacLeod, Gavin  2002 Documentary"
Bees in His Bonnet,"Blaisdell, William","Pratt, Gilbert",1918,Short,"Bees in His Bonnet (1918) Blaisdell, William Pratt, Gilbert 1918 Short"
Goofs and Saddles,"Howard, Curly","Lord, Del",1937,Short,"Goofs and Saddles (1937) Howard, Curly Lord, Del 1937 Short"
"Bell Boy, The","Keaton, Joe","Arbuckle, Roscoe 'Fatty'",1918,Short,"Bell Boy, The (1918) Keaton, Joe Arbuckle, Roscoe 'Fatty' 1918 Short"
Beyond a Reasonable Doubt,"Wiechman, Dave","Lang, Fritz (I)",1956,Drama,"Beyond a Reasonable Doubt (1956) Wiechman, Dave Lang, Fritz (I) 1956 Drama"
Bhowani Junction,"Maitland, Marne","Cukor, George",1956,Drama,"Bhowani Junction (1956) Maitland, Marne Cukor, George 1956 Drama"
Wonder Bar,"Roy, Rosalie","Bacon, Lloyd",1934,Romance,"Wonder Bar (1934) Roy, Rosalie Bacon, Lloyd 1934 Romance"
Faat Kin?,"Sarr, Awa Sene","Sembene, Ousmane",2000,Comedy,"Faat Kin? (2000) Sarr, Awa Sene Sembene, Ousmane 2000 Comedy"
Woman Haters,"Gittelson, June","Gottler, Archie",1934,Short,"Woman Haters (1934) Gittelson, June Gottler, Archie 1934 Short"
Qayamat: City Under Threat,"Devgan, Ajay","Baweja, Harry",2003,Romance,"Qayamat: City Under Threat (2003) Devgan, Ajay Baweja, Harry 2003 Romance"
"Que la barque se brise, que la jonque s'entrouvre","Na, Chamroeun","Panh, Rithy",2001,Drama,"Que la barque se brise, que la jonque s'entrouvre (2001) Na, Chamroeun Panh, Rithy 2001 Drama"
Beat It,"Zany, King","Pratt, Gilbert",1918,Short,"Beat It (1918) Zany, King Pratt, Gilbert 1918 Short"
Bears and Bad Men,"Kirby, Madge","Semon, Larry (I)",1918,Short,"Bears and Bad Men (1918) Kirby, Madge Semon, Larry (I) 1918 Short"
Back to the Woods,"Pollard, 'Snub'","Roach, Hal",1918,Short,"Back to the Woods (1918/I) Pollard, 'Snub' Roach, Hal 1918 Short"
"Prairie Home Companion, A","Raynor, Gary","Altman, Robert (I)",2006,Comedy,"Prairie Home Companion, A (2006) Raynor, Gary Altman, Robert (I) 2006 Comedy"
Say It with Songs,"Lee, Davey","Bacon, Lloyd",1929,Musical,"Say It with Songs (1929) Lee, Davey Bacon, Lloyd 1929 Musical"
Libel,"Hudson, Vanda","Asquith, Anthony",1959,Drama,"Libel (1959) Hudson, Vanda Asquith, Anthony 1959 Drama"
"Liaisons dangereuses, Les","Renant, Simone","Vadim, Roger",1959,Drama,"Liaisons dangereuses, Les (1959) Renant, Simone Vadim, Roger 1959 Drama"
Symbiopsychotaxiplasm: Take One,"Greaves, William (I)","Greaves, William (I)",1968,Documentary,"Symbiopsychotaxiplasm: Take One (1968) Greaves, William (I) Greaves, William (I) 1968 Documentary"
Li'l Abner,"Ackles, Ken","Frank, Melvin",1959,Comedy,"Li'l Abner (1959) Ackles, Ken Frank, Melvin 1959 Comedy"
Bus Stop,"Schub, William","Logan, Joshua",1956,Comedy,"Bus Stop (1956) Schub, William Logan, Joshua 1956 Comedy"
Joe Dirt,"Lambert, Kathleen (I)","Gordon, Dennie",2001,Comedy,"Joe Dirt (2001) Lambert, Kathleen (I) Gordon, Dennie 2001 Comedy"
Cach?,"Marbot, Nicky","Haneke, Michael",2005,Drama,"Cach? (2005) Marbot, Nicky Haneke, Michael 2005 Drama"
"Brave One, The","Lansing, Joi","Rapper, Irving",1957,Drama,"Brave One, The (1957) Lansing, Joi Rapper, Irving 1957 Drama"
Big Nothing,"Edmondson, Sarah","Andrea, Jean-Baptiste",2006,Comedy,"Big Nothing (2006) Edmondson, Sarah Andrea, Jean-Baptiste 2006 Comedy"
After Many Years,"Gebhardt, George","Griffith, D.W.",1908,Short,"After Many Years (1908) Gebhardt, George Griffith, D.W. 1908 Short"
"Adventures of Dollie, The","Inslee, Charles","Griffith, D.W.",1908,Short,"Adventures of Dollie, The (1908) Inslee, Charles Griffith, D.W. 1908 Short"
Electric Dragon 80.000 V,"Asano, Tadanobu","Ishii, Sogo",2001,Action,"Electric Dragon 80.000 V (2001) Asano, Tadanobu Ishii, Sogo 2001 Action"
Lotna,"Kosudarski, Tadeusz","Wajda, Andrzej",1959,Drama,"Lotna (1959) Kosudarski, Tadeusz Wajda, Andrzej 1959 Drama"
Salute,"Chandler, Helen","Ford, John (I)",1929,Drama,"Salute (1929) Chandler, Helen Ford, John (I) 1929 Drama"
Lonelyhearts,"Black, Jack (III)","Donehue, Vincent J.",1958,Drama,"Lonelyhearts (1958) Black, Jack (III) Donehue, Vincent J. 1958 Drama"
Sally,"Brown, Joe E.","Dillon, John Francis",1929,Musical,"Sally (1929) Brown, Joe E. Dillon, John Francis 1929 Musical"
Pok?mon: Jirachi - Wish Maker,"Grayson, Wayne","Stuart, Eric (III)",2004,Drama,"Pok?mon: Jirachi - Wish Maker (2004) (V) Grayson, Wayne Stuart, Eric (III) 2004 Drama"
Brodeuses,"Laroppe, Thomas","Faucher, ?l?onore",2004,Drama,"Brodeuses (2004) Laroppe, Thomas Faucher, ?l?onore 2004 Drama"
Abhilasha,Rallapalli,"A., Kodanda Rami Reddy",1983,Thriller,"Abhilasha (1983/I) Rallapalli A., Kodanda Rami Reddy 1983 Thriller"
"Emperor's New Clothes, The","Ducroux, Herv?","Taylor, Alan (I)",2001,Comedy,"Emperor's New Clothes, The (2001) Ducroux, Herv? Taylor, Alan (I) 2001 Comedy"
Thir13en Ghosts,"Wesley, Daniel","Beck, Steve",2001,Horror,"Thir13en Ghosts (2001) Wesley, Daniel Beck, Steve 2001 Horror"
Vchera,"Atanasov, Antoni","Andonov, Ivan",1988,Drama,"Vchera (1988) Atanasov, Antoni Andonov, Ivan 1988 Drama"
"Ronde, La","Simon, Simone (I)","Oph?ls, Max",1950,Drama,"Ronde, La (1950) Simon, Simone (I) Oph?ls, Max 1950 Drama"
Naan Sigappu Manithan,Ambika (II),"Chandrashekhar, S.A.",1985,,"Naan Sigappu Manithan (1985) Ambika (II) Chandrashekhar, S.A. 1985"
Cupid's Rival,"Ross, Bud","West, Billy (I)",1917,Short,"Cupid's Rival (1917) Ross, Bud West, Billy (I) 1917 Short"
Salaviinanpolttajat,"Kilpi, Eero","Puro, Teuvo",1907,Short,"Salaviinanpolttajat (1907) Kilpi, Eero Puro, Teuvo 1907 Short"
Naan Mahaan Alla,Rajnikanth,,1984,,Naan Mahaan Alla (1984) Rajnikanth  1984
Are Crooks Dishonest?,"Blaisdell, William","Pratt, Gilbert",1918,Short,"Are Crooks Dishonest? (1918) Blaisdell, William Pratt, Gilbert 1918 Short"
"Adventures of Rex and Rinty, The","Parker, Eddie (I)","Eason, B. Reeves",1935,Adventure,"Adventures of Rex and Rinty, The (1935) Parker, Eddie (I) Eason, B. Reeves 1935 Adventure"
Harlem on the Prairie,"Hunter, Rudolph","Newfield, Sam (I)",1937,Western,"Harlem on the Prairie (1937) Hunter, Rudolph Newfield, Sam (I) 1937 Western"
"Thrill of It All, The","Foti, Jacques","Jewison, Norman",1963,Comedy,"Thrill of It All, The (1963) Foti, Jacques Jewison, Norman 1963 Comedy"
Whore,"Fitzpatrick, Sean (I)","Russell, Ken (I)",1991,Drama,"Whore (1991) Fitzpatrick, Sean (I) Russell, Ken (I) 1991 Drama"
White Light,"Cavanagh, Thomas","Waxman, Al",1991,,"White Light (1991) Cavanagh, Thomas Waxman, Al 1991"
"Three Stooges Go Around the World in a Daze, The","Harris, Mark (I)","Maurer, Norman",1963,Comedy,"Three Stooges Go Around the World in a Daze, The (1963) Harris, Mark (I) Maurer, Norman 1963 Comedy"
White Palace,"Bourgeois, Robert (I)","Mandoki, Luis",1990,Drama,"White Palace (1990) Bourgeois, Robert (I) Mandoki, Luis 1990 Drama"
16 December,Deepinka,"Shankar, Mani",2002,Short,"16 December (2002) Deepinka Shankar, Mani 2002 Short"
White Fang,"Jimmie Sr., Charles","Kleiser, Randal",1991,Drama,"White Fang (1991/I) Jimmie Sr., Charles Kleiser, Randal 1991 Drama"
"Good Morning, Vietnam","Aiello III, Danny","Levinson, Barry (I)",1987,Comedy,"Good Morning, Vietnam (1987) Aiello III, Danny Levinson, Barry (I) 1987 Comedy"
"Black Dahlia, The","Evans, Troy (I)","De Palma, Brian",2006,Drama,"Black Dahlia, The (2006) Evans, Troy (I) De Palma, Brian 2006 Drama"
"Good Father, The","Stoller, Jennie","Newell, Mike (I)",1985,Drama,"Good Father, The (1985) Stoller, Jennie Newell, Mike (I) 1985 Drama"
Wild Hearts Can't Be Broken,"Robertson, Cliff","Miner, Steve",1991,Drama,"Wild Hearts Can't Be Broken (1991) Robertson, Cliff Miner, Steve 1991 Drama"
Tom Jones,"Kempson, Rachel","Richardson, Tony (I)",1963,Comedy,"Tom Jones (1963) Kempson, Rachel Richardson, Tony (I) 1963 Comedy"
Cane Toads,Anonymous (XXVI),"Lewis, Mark (VII)",1988,Documentary,"Cane Toads (1988) Anonymous (XXVI) Lewis, Mark (VII) 1988 Documentary"
Private,"Shafir, Niv","Costanzo, Saverio",2004,Drama,"Private (2004/I) Shafir, Niv Costanzo, Saverio 2004 Drama"
"Alraune, die Henkerstochter, genannt die rote Hanne","Sand, Tatjana","Klein, Joseph",1918,Horror,"Alraune, die Henkerstochter, genannt die rote Hanne (1918) Sand, Tatjana Klein, Joseph 1918 Horror"
All Night,"Harris, Wadsworth","Powell, Paul (I)",1918,Comedy,"All Night (1918) Harris, Wadsworth Powell, Paul (I) 1918 Comedy"
Chasers,"Page, Charles (II)","Hopper, Dennis",1994,Comedy,"Chasers (1994) Page, Charles (II) Hopper, Dennis 1994 Comedy"
Toys in the Attic,"Martin, Nan","Hill, George Roy",1963,Drama,"Toys in the Attic (1963) Martin, Nan Hill, George Roy 1963 Drama"
"Chase, The","Chessney, Brian","Rifkin, Adam",1994,Comedy,"Chase, The (1994) Chessney, Brian Rifkin, Adam 1994 Comedy"
Alraune,"Erd?lyi, G?za","Fritz, Edmund",1918,Horror,"Alraune (1918/I) Erd?lyi, G?za Fritz, Edmund 1918 Horror"
"Great Land of Small, The","Martn, Johanne","Jasny, Vojtech",1987,Family,"Great Land of Small, The (1987) Martn, Johanne Jasny, Vojtech 1987 Family"
Predator: The Concert,"George, Christopher (I)",,1987,Horror,"Predator: The Concert (1987) George, Christopher (I)  1987 Horror"
Aerograd,"Tabunasov, N.","Dovzhenko, Aleksandr",1935,Sci-Fi,"Aerograd (1935) Tabunasov, N. Dovzhenko, Aleksandr 1935 Sci-Fi"
After Office Hours,"Gable, Clark","Leonard, Robert Z.",1935,Drama,"After Office Hours (1935) Gable, Clark Leonard, Robert Z. 1935 Drama"
Ryu no oujo,"Chiba, Jir?","Kohira, Yutaka",1981,Action,"Ryu no oujo (1981) Chiba, Jir? Kohira, Yutaka 1981 Action"
Forbidden Fruit,,"Maluwa-Bruce, Sue",2000,Short,"Forbidden Fruit (2000)  Maluwa-Bruce, Sue 2000 Short"
Volkodav,"Slucka, Inara","Tumanishvili, Mikhail",1991,Action,"Volkodav (1991) Slucka, Inara Tumanishvili, Mikhail 1991 Action"
Hong he gu,"Ning, Jing","Feng, Xiaoning",1999,History,"Hong he gu (1999) Ning, Jing Feng, Xiaoning 1999 History"
"39 Steps, The","Verno, Jerry","Hitchcock, Alfred (I)",1935,Comedy,"39 Steps, The (1935) Verno, Jerry Hitchcock, Alfred (I) 1935 Comedy"
What About Bob?,"Lowery, Marcella","Oz, Frank",1991,Comedy,"What About Bob? (1991) Lowery, Marcella Oz, Frank 1991 Comedy"
Where Angels Fear to Tread,"Vivenzio, Giuseppe","Sturridge, Charles",1991,Drama,"Where Angels Fear to Tread (1991) Vivenzio, Giuseppe Sturridge, Charles 1991 Drama"
"Shakedown, The","Gribbon, Harry","Wyler, William",1929,,"Shakedown, The (1929) Gribbon, Harry Wyler, William 1929"
Hamburger Hill,"Palmore, J.C.","Irvin, John",1987,Drama,"Hamburger Hill (1987) Palmore, J.C. Irvin, John 1987 Drama"
Atlantis,"Bruun, Cajus","Blom, August",1913,Drama,"Atlantis (1913) Bruun, Cajus Blom, August 1913 Drama"
Hard Ticket to Hawaii,"Searle, Jamie","Sidaris, Andy",1987,Adventure,"Hard Ticket to Hawaii (1987) Searle, Jamie Sidaris, Andy 1987 Adventure"
Harry and the Hendersons,"Mitchell, Mark (II)","Dear, William",1987,Comedy,"Harry and the Hendersons (1987) Mitchell, Mark (II) Dear, William 1987 Comedy"
Chushingura gaiden yotsuya kaidan,"Sanada, Hiroyuki","Fukasaku, Kinji",1994,Horror,"Chushingura gaiden yotsuya kaidan (1994) Sanada, Hiroyuki Fukasaku, Kinji 1994 Horror"
Tango Charlie,"Devgan, Ajay","Shankar, Mani",2005,Action,"Tango Charlie (2005) Devgan, Ajay Shankar, Mani 2005 Action"
"Hanoi Hilton, The","Brennan, Mark (I)","Chetwynd, Lionel",1987,Drama,"Hanoi Hilton, The (1987) Brennan, Mark (I) Chetwynd, Lionel 1987 Drama"
Felicity,"Bradshaw, David (I)","Lamond, John D.",1979,,"Felicity (1979) Bradshaw, David (I) Lamond, John D. 1979"
Wizard of Oz,"Pearson, Virginia","Semon, Larry (I)",1925,Comedy,"Wizard of Oz (1925) Pearson, Virginia Semon, Larry (I) 1925 Comedy"
Oasis,"Yun, Ga-hyun","Lee, Chang-dong",2002,Drama,"Oasis (2002) Yun, Ga-hyun Lee, Chang-dong 2002 Drama"
Occident,"Danu, Mihai","Mungiu, Cristian",2002,Comedy,"Occident (2002) Danu, Mihai Mungiu, Cristian 2002 Comedy"
Wolf Blood,"Cosgrave, Jack","Chesebro, George (I)",1925,Horror,"Wolf Blood (1925) Cosgrave, Jack Chesebro, George (I) 1925 Horror"
So Long at the Fair,"Warren, Betty","Fisher, Terence",1950,Drama,"So Long at the Fair (1950) Warren, Betty Fisher, Terence 1950 Drama"
"Wicked Tale, A","Ng, Maria","Tong, Tzang Merwyn",2005,Thriller,"Wicked Tale, A (2005) Ng, Maria Tong, Tzang Merwyn 2005 Thriller"
"Crayola Kids Adventures: 20,000 Leagues Under the Sea","Van Dyke, Phillip","Kruzan, Michael",1997,Short,"Crayola Kids Adventures: 20,000 Leagues Under the Sea (1997) (V) Van Dyke, Phillip Kruzan, Michael 1997 Short"
Southside 1-1000,"Valez, Kippee","Ingster, Boris",1950,Crime,"Southside 1-1000 (1950) Valez, Kippee Ingster, Boris 1950 Crime"
Queen of the Northwoods,"Clair, Ethlyne","Bennet, Spencer Gordon",1929,,"Queen of the Northwoods (1929) Clair, Ethlyne Bennet, Spencer Gordon 1929"
"Ni?a de tus ojos, La","Barranco, Mar?a","Trueba, Fernando",1998,Comedy,"Ni?a de tus ojos, La (1998) Barranco, Mar?a Trueba, Fernando 1998 Comedy"
"Bandit, A","St. John, Al","Sennett, Mack",1913,Short,"Bandit, A (1913) St. John, Al Sennett, Mack 1913 Short"
Missile to the Moon,"Hoy, Renate","Cunha, Richard E.",1958,Sci-Fi,"Missile to the Moon (1958) Hoy, Renate Cunha, Richard E. 1958 Sci-Fi"
Nora,"Scott, Andrew (I)","Murphy, Pat (II)",2000,Drama,"Nora (2000) Scott, Andrew (I) Murphy, Pat (II) 2000 Drama"
Clear and Present Danger,"Verdun, Al","Noyce, Phillip",1994,Thriller,"Clear and Present Danger (1994) Verdun, Al Noyce, Phillip 1994 Thriller"
Clerks.,"Smith, Kevin (I)","Smith, Kevin (I)",1994,Comedy,"Clerks. (1994) Smith, Kevin (I) Smith, Kevin (I) 1994 Comedy"
Clean Slate,"Paton, Angela","Jackson, Mick (I)",1994,Comedy,"Clean Slate (1994) Paton, Angela Jackson, Mick (I) 1994 Comedy"
Firepower,"Butler, Ken (I)","Winner, Michael",1979,Drama,"Firepower (1979) Butler, Ken (I) Winner, Michael 1979 Drama"
Bangville Police,"Kennedy, Edgar","Lehrman, Henry",1913,Short,"Bangville Police (1913) Kennedy, Edgar Lehrman, Henry 1913 Short"
"Fifth Musketeer, The","Hartmann, Erhart","Annakin, Ken",1979,Adventure,"Fifth Musketeer, The (1979) Hartmann, Erhart Annakin, Ken 1979 Adventure"
